;k;family;Y;Dev;DevExpl;Rsq;Rsqadj;RMSELoo;x0;x1;x2;x3;x4
1;0;NBinomial;nFry_M;17,74046522;0,24448537;0,541248613;0,453867397;8,069941338;2,01E-09;0,059872733;0,957366072;0,656565296;0,000953957
2;3;NBinomial;nFry_M;25,05601574;0,345302629;0,765619718;0,720975855;8,146063034;4,16E-81;0,611996864;0,894585321;0,30521536;0,000529362
3;4;NBinomial;nFry_M;26,91584106;0,370933303;0,807813643;0,771206718;8,761848138;1,75E-85;0,37771014;0,869891699;0,574178384;0,000839874
4;5;NBinomial;nFry_M;32,02057327;0,441282774;0,82927734;0,796758738;6,547732209;4,05E-96;0,297912307;0,784670386;0,498938645;1,19E-05
5;6;NBinomial;nFry_M;59,03356924;0,81355499;0,955552921;0,94708681;6,840329778;5,23E-171;0,018962378;0,295427431;0,083710798;9,66E-15
6;0;NBinomial;nParr1_M;12,3674657;0,239380513;0,141212175;-0,022366459;5,113459199;0,000115599;0,286685132;0,357183472;0,00492504;0,007810597
7;3;NBinomial;nParr1_M;27,70481949;0,536245183;0,719522783;0,666098552;4,469744988;9,49E-32;0,174164898;0,676190937;0,050782028;7,99E-06
8;4;NBinomial;nParr1_M;28,29571538;0,547682365;0,74331673;0,694424679;4,546913482;4,87E-33;0,376298177;0,379127559;0,033070765;4,68E-05
9;5;NBinomial;nParr1_M;27,90468929;0,540113796;0,733864172;0,683171634;5,198533197;1,37E-32;0,417668267;0,369545354;0,037800075;6,24E-05
10;6;NBinomial;nParr1_M;28,69793115;0,555467519;0,746477791;0,698187847;5,118374993;4,19E-33;0,399434956;0,359675976;0,041028087;5,02E-05